13048	0446605239	8
13082	0425153975	8
13082	0689807791	7
13104	0671023616	7
13121	0446605239	7
13126	0446608955	5
13164	080410753X	8
13231	0684874350	8
13260	0140244824	7
13273	014025448X	8
13273	0446672211	9
13273	0670889113	8
13273	0671888587	8
13273	068487217X	8
13273	0688177751	8
13273	0804106436	8
13279	0688171877	10
13331	0440211727	2
13428	080410753X	9
13503	0452277337	10
13518	0440211727	8
13518	0590477420	8
13551	042511774X	10
13551	0679441557	8
13551	0804108749	10
13552	0140292683	8
13552	0425124347	8
13552	0425153975	9
13552	0440211727	9
13552	0440214041	9
13552	0440220602	7
13552	0440221471	8
13552	044022165X	8
13552	0440224764	9
13552	044651652X	8
13552	0446602213	8
13552	0446606812	0.2
13552	0446608890	0.2
13552	0449219615	0.2
13552	0449223795	0.2
13552	0451181379	0.2
13552	0451201124	0.2
13552	0451408888	0.2
13552	0515116750	8
13552	0553281798	0.2
13552	0553576089	0.2
13552	0590409662	0.2
13552	0670878812	0.2
13552	0671001795	0.2
13552	067102423X	0.2
13552	0671510053	0.2
13552	0671670662	7
13552	0671695142	8
13552	0671695169	7
13552	0671708635	0.2
13552	0679772677	0.2
13552	068484267X	0.2
13552	068484477X	0.2
13552	0684862719	0.2
13582	0440211727	0.2
13582	0440214041	0.2
13582	0440221471	0.2
13582	044022165X	0.2
13582	0440224764	0.2
13582	0446608955	0.2
13582	0451166892	0.2
13582	0671741195	8
13582	0805036377	0.2
13600	0671776975	0.2
13600	0821223666	9
13604	0684193957	10
13659	044022165X	0.2
13664	0671023616	8
13709	0440211263	8
13709	0446605239	10
13715	0451147367	0.2
13723	3442442354	5
13735	0671041789	9
13754	0679772677	0.2
13799	0486282252	0.2
13850	0679772677	0.2
13858	0425165701	8
13863	0767900189	0.2
13896	0441102670	5
13896	0812532597	7
13935	0425175405	0.2
13935	0440214424	0.2
13935	0449134482	0.2
13935	0553579754	0.2
13935	0671741454	0.2
13935	0679450440	0.2
13968	044021145X	0.2
13968	0440224764	7
13973	014028009X	10
13973	155874262X	2
13973	1558744630	2
13995	0552998486	5
13995	0670882070	0.2
13995	0671041789	0.2
13995	0804106304	7
